,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
107,Rogue One: A Star Wars Story,2016,133,7.8,65,545357,532.18
108,Edge of Tomorrow,2014,113,7.9,71,592586,100.21
109,Toy Story,1995,81,8.3,95,875172,191.8
110,Goldfinger,1964,110,7.7,87,171292,51.08
111,Portrait of a Lady on Fire,2019,122,8.1,95,56382,3.76
112,Dunkirk,2017,106,7.9,94,542697,188.37
113,Die Hard,1988,132,8.2,72,775098,83.01
114,American Psycho,2000,101,7.6,64,481801,15.07
115,The Grand Budapest Hotel,2014,99,8.1,88,696385,59.1
116,Shutter Island,2010,138,8.2,63,1111656,128.01
117,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65,470395,295.98
118,Good Will Hunting,1997,126,8.3,70,848752,138.43
119,Braveheart,1995,178,8.3,68,949757,75.6
120,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,900612,34.4
121,The Social Network,2010,120,7.7,95,616453,96.96
122,My Cousin Vinny,1992,120,7.6,68,105601,52.93
123,The Goonies,1985,114,7.8,62,241235,61.5
124,The Curious Case of Benjamin Button,2008,166,7.8,70,581844,127.51
125,Blade Runner,1982,117,8.1,84,685607,32.87
126,The Revenant,2015,156,8.0,76,693868,183.64
127,Logan,2017,137,8.1,77,637072,226.28
128,Her,2013,126,8.0,90,531863,25.57
129,The Usual Suspects,1995,106,8.5,77,979512,23.34
130,The Big Short,2015,130,7.8,81,354942,70.26
131,12 Angry Men,1957,96,9.0,96,678710,4.36
132,The Notebook,2004,123,7.8,53,513924,81.0
133,The Exorcist,1973,122,8.0,81,359475,232.91
134,The Hobbit: An Unexpected Journey,2012,169,7.8,58,750552,303.0
135,Rocky,1976,120,8.1,70,511914,117.24
136,Donnie Darko,2001,113,8.0,88,733822,1.48
137,The Lord of the Rings: The Two Towers,2002,179,8.7,87,1465663,342.55
138,The Hateful Eight,2015,168,7.8,68,506836,54.12
139,Moana,2016,107,7.6,81,266317,248.76
140,Spotlight,2015,129,8.1,93,413189,45.06
141,Boogie Nights,1997,155,7.9,85,236529,26.4
142,The Pianist,2002,150,8.5,85,718088,32.57
143,Skyfall,2012,143,7.7,81,625075,304.36
144,La La Land,2016,128,8.0,94,495575,151.1
145,The Avengers,2012,143,8.0,69,1249995,623.28
146,The Godfather: Part II,1974,202,9.0,90,1113111,57.3
147,Star Wars: Episode VII - The Force Awakens,2015,138,7.9,80,851455,936.66
148,Drive,2011,100,7.8,78,564523,35.06
149,Kingsman: The Secret Service,2014,129,7.7,60,584630,128.26
150,Apollo 13,1995,140,7.6,77,265043,173.84
151,Batman Begins,2005,140,8.2,70,1292587,206.85
152,The Bourne Identity,2002,119,7.9,68,503603,121.66
153,The Girl with the Dragon Tattoo,2011,158,7.8,71,416148,102.52
154,Black Swan,2010,108,8.0,79,692141,106.95
155,300,2006,117,7.6,52,727057,210.61
156,Zootopia,2016,108,8.0,78,426946,341.27
157,Almost Famous,2000,122,7.9,90,250103,32.53
158,Iron Man,2008,126,7.9,79,929001,318.41
159,Ferris Bueller's Day Off,1986,103,7.8,61,318013,70.14
160,The Thing,1982,109,8.1,57,366503,13.78
161,Bohemian Rhapsody,2018,134,8.0,49,440844,216.43
162,A Star Is Born,2018,136,7.6,88,325811,215.29
163,Memento,2000,113,8.4,80,1111878,25.54
164,Marriage Story,2019,137,8.0,94,236528,2.0
165,Stardust,2007,127,7.6,66,252461,38.63
166,There Will Be Blood,2007,158,8.2,93,509754,40.22
167,Spirited Away,2001,125,8.6,96,638267,10.06
168,American Gangster,2007,157,7.8,76,387304,130.16
169,Aliens,1986,137,8.3,84,646128,85.16
170,The Incredibles,2004,115,8.0,90,649294,261.44
171,Heat,1995,170,8.2,76,569065,67.44
172,Dead Poets Society,1989,128,8.1,79,417516,95.86
173,Casablanca,1942,102,8.5,100,515671,1.02
174,Ghostbusters,1984,105,7.8,71,351617,238.63
175,A Beautiful Mind,2001,135,8.2,72,837451,170.74
176,28 Days Later...,2002,113,7.6,73,373306,45.06
177,The Truman Show,1998,103,8.1,90,924184,125.62
178,Scarface,1983,170,8.3,65,730530,45.6
179,Pan's Labyrinth,2006,118,8.2,98,612621,37.63
180,Psycho,1960,109,8.5,97,596382,32.0
181,Citizen Kane,1941,119,8.3,100,394393,1.59
182,The Lion King,1994,88,8.5,88,928635,422.78
183,Oldboy,2003,120,8.4,77,507740,0.71
184,Silver Linings Playbook,2012,122,7.7,81,655686,132.09
185,2001: A Space Odyssey,1968,149,8.3,84,595334,56.95
186,Lost in Translation,2003,102,7.7,89,409066,44.59
187,Toy Story 4,2019,100,7.8,84,195432,434.04
188,Catch Me If You Can,2002,141,8.1,75,814135,164.62
189,Snatch,2000,102,8.3,55,773564,30.33
190,Atonement,2007,123,7.8,85,247738,50.93
191,Ex Machina,2014,108,7.7,78,467962,25.44
192,The Terminator,1984,107,8.0,84,792750,38.4
193,E.T. the Extra-Terrestrial,1982,115,7.8,91,367414,435.11
194,Dallas Buyers Club,2013,117,8.0,80,435178,27.3
195,"Three Billboards Outside Ebbing, Missouri",2017,115,8.2,88,420547,54.51
196,The Breakfast Club,1985,97,7.8,66,353327,45.88
197,Life Is Beautiful,1997,116,8.6,59,614128,57.6
198,The Imitation Game,2014,114,8.0,73,675723,91.13
199,Airplane!,1980,88,7.7,78,211853,83.4
200,The Perks of Being a Wallflower,2012,103,8.0,67,456549,17.74
201,Hot Fuzz,2007,121,7.8,81,458779,23.64
202,Arrival,2016,116,7.9,81,584280,100.55
203,True Romance,1993,119,7.9,59,204663,12.28
204,The Fifth Element,1997,126,7.7,52,429627,63.54
205,Terminator 2: Judgment Day,1991,137,8.5,75,984819,204.84
206,Mulan,1998,88,7.6,71,252237,120.62
207,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,1143999,290.48
208,City of God,2002,130,8.6,79,692154,7.56
209,Jaws,1975,124,8.0,87,539684,260.0
210,The Hangover,2009,100,7.7,73,711276,277.32
211,The Help,2011,146,8.0,62,423513,169.71
212,Room,2015,118,8.1,86,364067,14.68
213,American History X,1998,119,8.5,62,1023946,6.72
214,Sicario,2015,121,7.6,82,365763,46.89
215,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,937716,309.13
216,Stand by Me,1986,89,8.1,75,359422,52.29
217,The Wizard of Oz,1939,102,8.0,92,368518,2.08
218,"The Good, the Bad and the Ugly",1966,178,8.8,90,680085,6.1
219,Nightcrawler,2014,117,7.9,76,456965,32.38
220,Once Upon a Time in America,1984,229,8.4,1,306647,5.32
221,Indiana Jones and the Temple of Doom,1984,118,7.6,57,443435,179.87
222,Mulholland Drive,2001,147,8.0,85,317237,7.22
223,The Deer Hunter,1978,183,8.1,86,307760,48.98
224,Just Mercy,2019,137,7.6,68,42807,
225,The Hunt,2012,115,8.3,77,274672,0.69
226,The Thin Red Line,1998,170,7.6,78,170956,36.4
227,The Invisible Guest,2016,106,8.1,1,133498,
228,Mary Poppins,1964,139,7.8,88,155916,102.27
229,It's a Wonderful Life,1946,130,8.6,89,392544,
230,Klaus,2019,96,8.2,65,79451,
231,The Best Years of Our Lives,1946,170,8.0,93,56793,23.65
232,Where Eagles Dare,1968,158,7.7,63,51325,
233,X-Men: First Class,2011,131,7.7,65,640982,146.41
234,The Intouchables,2011,112,8.5,57,746612,13.18
235,Hidden Figures,2016,127,7.8,74,196794,169.61
236,Edward Scissorhands,1990,105,7.9,74,442588,56.36
237,The Last of the Mohicans,1992,112,7.7,76,147278,75.51
238,Ratatouille,2007,111,8.0,96,632037,206.45
239,Your Name.,2016,106,8.4,79,186505,5.02
240,The Handmaiden,2016,145,8.1,84,108815,2.01
241,Wonder,2017,113,8.0,66,137671,132.42
242,Come and See,1985,142,8.3,1,56730,
243,Memories of Murder,2003,132,8.1,82,133601,0.01
244,Kill Bill: Vol. 1,2003,111,8.1,69,988207,70.1
245,Reservoir Dogs,1992,99,8.3,79,906980,2.83
246,Into the Wild,2007,148,8.1,73,565977,18.35
247,Sin City,2005,124,8.0,74,735786,74.1
248,The Bourne Supremacy,2004,108,7.7,73,430769,176.24
249,Scent of a Woman,1992,156,8.0,59,258578,63.9
250,Children of Men,2006,109,7.9,84,461137,35.55
251,The Dirty Dozen,1967,150,7.7,73,66534,45.3
252,Big Fish,2003,125,8.0,58,411905,66.26
253,Casino,1995,178,8.2,73,459549,42.44
254,Captain America: Civil War,2016,147,7.8,75,653094,408.08
255,12 Years a Slave,2013,134,8.1,96,631868,56.67
256,What We Do in the Shadows,2014,86,7.7,76,154600,3.33
257,Warrior,2011,140,8.2,71,431567,13.66
258,Downfall,2004,156,8.2,82,327925,5.51
259,Vertigo,1958,128,8.3,100,359122,3.2
260,As Good as It Gets,1997,139,7.7,67,272389,148.48
261,Trainspotting,1996,93,8.1,83,628625,16.5
262,The Sixth Sense,1999,107,8.1,64,902636,293.51
263,Tangled,2010,100,7.7,71,400577,200.82
264,The Name of the Rose,1986,130,7.7,54,100954,7.15
265,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,87,572916,42.34
266,Inside Out,2015,95,8.1,94,602017,356.46
267,Wind River,2017,107,7.7,73,198876,33.8
268,Argo,2012,120,7.7,86,567372,136.03
269,Apocalypto,2006,139,7.8,68,288551,50.87
270,Brokeback Mountain,2005,134,7.7,87,319867,83.04
271,The Hobbit: The Desolation of Smaug,2013,161,7.8,66,595101,258.37
272,Predator,1987,107,7.8,45,367841,59.74
273,The Sound of Music,1965,172,8.0,63,200592,163.21
274,Captain Fantastic,2016,118,7.9,72,185573,5.88
275,Dances with Wolves,1990,181,8.0,72,237343,184.21
276,Hunt for the Wilderpeople,2016,101,7.9,81,107940,5.2
277,Minority Report,2002,145,7.6,80,503378,132.07
278,Coraline,2009,100,7.7,80,195107,75.29
279,Remember the Titans,2000,113,7.8,48,196046,115.65
280,Inside Man,2006,129,7.6,76,334449,88.51
281,Capernaum,2018,126,8.4,75,58110,1.66
282,Manchester by the Sea,2016,137,7.8,96,242523,47.7
283,Saw,2004,103,7.6,46,375846,56.0
284,Shaun of the Dead,2004,99,7.9,76,507395,13.54
285,Incredibles 2,2018,118,7.6,80,243978,608.58
286,The Bourne Ultimatum,2007,115,8.0,85,600854,227.47
287,The Theory of Everything,2014,123,7.7,72,397812,35.89
288,Before Sunrise,1995,101,8.1,77,267247,5.54
289,The Lives of Others,2006,137,8.4,89,354027,11.29
290,Zombieland,2009,88,7.6,73,515575,75.59
291,Back to the Future Part II,1989,108,7.8,57,474982,118.5
292,Unforgiven,1992,130,8.2,85,371514,101.16
293,The Blind Side,2009,129,7.6,53,289168,255.96
294,Sherlock Holmes,2009,128,7.6,57,578287,209.03
295,Blue Is the Warmest Colour,2013,180,7.7,89,136954,2.2
296,Cast Away,2000,143,7.8,73,516514,233.63
297,The Godfather: Part III,1990,162,7.6,60,354093,66.67
298,L.A. Confidential,1997,138,8.2,90,526435,64.62
299,Star Trek Into Darkness,2013,132,7.7,72,460610,228.78
300,The Royal Tenenbaums,2001,110,7.6,76,263763,52.36
301,"Monsters, Inc.",2001,92,8.0,79,804555,289.92
302,The Pursuit of Happyness,2006,117,8.0,64,442501,163.57
303,X-Men: Days of Future Past,2014,132,7.9,75,654700,233.92
304,District 9,2009,112,7.9,81,634153,115.65
305,Amélie,2001,122,8.3,69,696561,33.23
306,Papillon,1973,151,8.0,58,120548,53.27
307,Gran Torino,2008,116,8.1,72,713648,148.1
308,Black Hawk Down,2001,144,7.7,74,361005,108.64
309,12 Monkeys,1995,129,8.0,74,572853,57.14
310,The Blues Brothers,1980,133,7.9,60,180927,57.23
311,What's Eating Gilbert Grape,1993,118,7.8,73,212352,9.17
312,Once Upon a Time in the West,1968,165,8.5,80,299127,5.32
313,Captain America: The Winter Soldier,2014,136,7.7,70,726704,259.77
314,Serenity,2005,119,7.8,74,281505,25.51
315,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97,445610,0.28
316,Incendies,2010,131,8.3,80,146147,6.86
317,Amadeus,1984,160,8.3,88,364920,51.97
318,Gone with the Wind,1939,238,8.1,97,286733,198.68
319,Howl's Moving Castle,2004,119,8.2,80,326259,4.71
320,Slumdog Millionaire,2008,120,8.0,84,791904,141.32
321,Young Frankenstein,1974,106,8.0,80,142066,86.3
322,Shrek,2001,90,7.8,84,606589,267.67
323,Kick-Ass,2010,117,7.6,66,521039,48.07
324,Magnolia,1999,188,8.0,77,287009,22.46
325,Mystic River,2003,138,7.9,84,415058,90.14
326,The Right Stuff,1983,193,7.8,91,55616,21.5
327,The Magnificent Seven,1960,128,7.7,74,86745,4.91
328,Sleepers,1996,147,7.6,49,185089,49.1
329,First Blood,1982,93,7.7,61,223803,47.21
330,Walk the Line,2005,136,7.8,72,231755,119.52
331,Freaks,1932,64,7.9,80,41746,
332,Finding Nemo,2003,100,8.1,90,937940,380.84
333,"Lock, Stock and Two Smoking Barrels",1998,107,8.2,66,529596,3.9
334,Taken,2008,90,7.8,51,561211,145.0
335,"O Brother, Where Art Thou?",2000,107,7.7,69,282290,45.51
336,Moonrise Kingdom,2012,94,7.8,84,315117,45.51
337,The Others,2001,104,7.6,74,334094,96.52
338,Primal Fear,1996,129,7.7,47,185966,56.12
339,Deliverance,1972,109,7.7,80,97842,7.06
340,Crash,2004,112,7.7,66,417136,54.58
341,Who Framed Roger Rabbit,1988,104,7.7,83,180226,156.45
342,A Few Good Men,1992,138,7.7,62,232340,141.34
343,Willy Wonka & the Chocolate Factory,1971,100,7.8,67,176209,4.0
344,3 Idiots,2009,170,8.4,67,338037,6.53
345,Seven Samurai,1954,207,8.6,98,311872,0.27
346,Being John Malkovich,1999,113,7.7,90,309278,22.86
347,The Game,1997,129,7.8,61,340614,48.32
348,Up,2009,96,8.2,88,922385,293.0
349,"Planes, Trains and Automobiles",1987,93,7.6,72,120835,49.53
350,JFK,1991,189,8.0,72,140324,70.41
351,Enemy at the Gates,2001,131,7.6,53,240947,51.4
352,Training Day,2001,122,7.7,69,385435,76.63
353,Rear Window,1954,112,8.4,100,438221,36.76
354,Rosemary's Baby,1968,137,8.0,96,191214,
355,Office Space,1999,89,7.7,68,239379,10.82
356,The Butterfly Effect,2004,113,7.6,30,447642,57.94
357,Midnight in Paris,2011,94,7.7,81,383945,56.82
358,The Fugitive,1993,130,7.8,87,264562,183.88
359,Blood Diamond,2006,143,8.0,64,493977,57.37
360,The Warriors,1979,92,7.6,65,92804,22.49
361,The Count of Monte Cristo,2002,131,7.8,61,127892,54.23
362,Lion,2016,118,8.0,69,210118,51.74
363,WALL·E,2008,98,8.4,95,985906,223.81
364,The Man Who Would Be King,1975,129,7.8,91,44070,
365,Groundhog Day,1993,101,8.0,72,573279,70.91
366,Princess Mononoke,1997,134,8.4,76,336817,2.38
367,Million Dollar Baby,2004,132,8.1,86,629230,100.49
368,Little Miss Sunshine,2006,101,7.8,80,435634,59.89
369,The King's Speech,2010,118,8.0,88,633190,138.8
370,Seven Pounds,2008,123,7.6,36,284414,69.95
371,The Last Samurai,2003,154,7.7,55,396038,111.11
372,Rush,2013,123,8.1,74,427619,26.95
373,Raging Bull,1980,129,8.2,89,317816,23.38
374,Fear and Loathing in Las Vegas,1998,118,7.6,41,257432,10.68
375,The Color Purple,1985,154,7.8,78,77417,98.47
376,Aladdin,1992,90,8.0,86,370080,217.35
377,Misery,1990,107,7.8,75,181944,61.28
378,The Fault in Our Stars,2014,126,7.7,69,340527,124.87
379,The Machinist,2004,101,7.7,61,354532,1.08
380,In the Name of the Father,1993,133,8.1,84,154863,25.01
381,The Graduate,1967,106,8.0,83,251661,104.95
382,Blazing Saddles,1974,93,7.7,73,124745,119.5
383,The Bridge on the River Kwai,1957,161,8.1,87,201141,44.91
384,Changeling,2008,141,7.7,63,236815,35.74
385,Chinatown,1974,130,8.1,92,290478,29.2
386,How to Train Your Dragon,2010,98,8.1,75,658497,217.58
387,The Fly,1986,96,7.6,79,157973,40.46
388,Billy Elliot,2000,110,7.7,74,125280,22.0
389,Fantastic Mr. Fox,2009,87,7.9,83,195741,21.0
390,Only the Brave,2017,134,7.6,72,56602,18.34
391,Monty Python and the Holy Grail,1975,91,8.2,91,496215,1.23
392,A Christmas Story,1983,93,7.9,77,128243,20.61
393,Sense and Sensibility,1995,136,7.6,84,100969,43.18
394,Beauty and the Beast,1991,84,8.0,95,413760,218.97
395,Big Hero 6,2014,102,7.8,74,405455,222.53
396,Road to Perdition,2002,117,7.7,72,244252,104.45
397,500 Days of Summer,2009,95,7.7,76,468176,32.39
398,True Grit,2010,110,7.6,80,308203,171.24
399,Glory,1989,122,7.8,78,120902,26.83
400,The Road Warrior,1981,96,7.6,77,164933,12.47
401,Toy Story 3,2010,103,8.3,92,747824,415.0
402,Butch Cassidy and the Sundance Kid,1969,110,8.0,66,200413,102.31
403,Moon,2009,97,7.9,67,332421,5.01
404,Gravity,2013,91,7.7,96,761947,274.09
405,Blue Velvet,1986,120,7.7,76,178821,8.55
406,Breakfast at Tiffany's,1961,115,7.6,76,164683,
407,Y Tu Mamá También,2001,106,7.6,88,114733,13.62
408,Gifted,2017,101,7.6,60,97695,24.8
409,Bridge of Spies,2015,142,7.6,81,284097,72.31
410,Kill Bill: Vol. 2,2004,137,8.0,83,675813,66.21
411,Grave of the Fireflies,1988,89,8.5,94,230299,
412,Lawrence of Arabia,1962,228,8.3,100,264668,44.82
413,Captain Phillips,2013,134,7.8,82,416188,107.1
414,The Florida Project,2017,111,7.6,92,92477,5.9
415,Gattaca,1997,106,7.8,64,278251,12.34
416,A Silent Voice: The Movie,2016,130,8.1,78,44173,
417,Blow,2001,124,7.6,52,238568,52.99
418,The Little Mermaid,1989,83,7.6,88,234649,111.54
419,The Secret in Their Eyes,2009,129,8.2,80,190398,6.39
420,The Birds,1963,119,7.7,90,169658,11.4
421,The Boy in the Striped Pajamas,2008,94,7.8,55,188080,9.03
422,Do the Right Thing,1989,120,8.0,93,87880,27.55
423,The Sandlot,1993,101,7.8,55,78094,32.42
424,Togo,2019,113,8.0,69,33751,
425,Despicable Me,2010,95,7.6,72,495459,251.51
426,Roma,2018,135,7.7,96,137324,
427,Dangal,2016,161,8.4,1,151991,12.39
428,In Bruges,2008,107,7.9,67,386932,7.76
429,Hell or High Water,2016,102,7.6,88,201046,26.86
430,Man on Fire,2004,146,7.7,47,326365,77.91
431,The Elephant Man,1980,124,8.1,78,217226,
432,The Great Escape,1963,172,8.2,86,222052,12.1
433,Creed,2015,133,7.6,82,244502,109.77
434,Brazil,1985,132,7.9,84,185985,9.93
435,The Fighter,2010,116,7.8,79,336987,93.62
436,I Saw the Devil,2010,144,7.8,67,108875,0.13
437,Wreck-It Ralph,2012,101,7.7,72,375373,189.42
438,The Seventh Seal,1957,96,8.2,88,162023,
439,Toy Story 2,1999,92,7.9,88,520679,245.85
440,Barry Lyndon,1975,185,8.1,89,147416,
441,The Sting,1973,129,8.3,83,238811,159.6
442,North by Northwest,1959,136,8.3,98,295509,13.28
443,Boyhood,2014,165,7.9,100,332992,25.38
444,Donnie Brasco,1997,127,7.7,76,275499,41.91
445,To Kill a Mockingbird,1962,129,8.2,88,291306,
446,Straight Outta Compton,2015,147,7.8,72,177594,161.2
447,Mr. Nobody,2009,141,7.8,63,214034,0.0
448,In the Mood for Love,2000,98,8.1,85,121560,2.73
449,The Farewell,2019,100,7.6,89,47710,16.88
450,Fried Green Tomatoes,1991,130,7.7,64,66173,82.42
451,The Skin I Live In,2011,120,7.6,70,137000,3.19
452,Akira,1988,124,8.0,1,162378,0.55
453,Stalker,1979,162,8.2,1,114470,0.23
454,Planet of the Apes,1968,112,8.0,79,164048,33.4
455,Traffic,2000,147,7.6,86,194372,124.12
456,Ben-Hur,1959,212,8.1,90,216941,74.7
457,Gone Baby Gone,2007,114,7.6,72,247725,20.3
458,Lethal Weapon,1987,109,7.6,68,234172,65.21
459,Dil Bechara,2020,101,7.9,1,107763,
460,Dog Day Afternoon,1975,125,8.0,86,233161,50.0
461,Rain Man,1988,133,8.0,65,468576,178.8
462,The Girl with the Dragon Tattoo,2009,152,7.8,76,207397,10.1
463,Harakiri,1962,133,8.6,85,39760,
464,Eastern Promises,2007,100,7.6,82,225727,17.11
465,Midnight Cowboy,1969,113,7.8,79,99793,44.79
466,The Boondock Saints,1999,108,7.8,44,225878,0.03
467,Hachi: A Dog's Tale,2009,93,8.1,1,249250,
468,Evil Dead II,1987,84,7.8,72,146960,5.92
469,Dangerous Liaisons,1988,119,7.6,74,63963,34.7
470,Some Like It Hot,1959,121,8.2,98,240830,25.0
471,When Harry Met Sally...,1989,95,7.6,76,192925,92.82
472,Dogville,2003,178,8.0,60,136398,1.53
473,La Haine,1995,98,8.1,1,147342,0.31
474,Before Sunset,2004,80,8.1,90,232271,5.82
475,Falling Down,1993,113,7.6,56,168506,40.9
476,Adaptation.,2002,115,7.7,83,176601,22.25
477,Life of Pi,2012,127,7.9,79,574929,124.99
478,Rushmore,1998,93,7.7,86,167582,17.11
479,"Paris, Texas",1984,145,8.1,78,88684,2.18
480,From Here to Eternity,1953,118,7.6,85,42894,30.5
481,Paths of Glory,1957,88,8.4,90,175509,
482,The Lego Movie,2014,100,7.7,83,321569,257.76
483,Philadelphia,1993,125,7.7,66,221639,77.32
484,The Holy Mountain,1973,114,7.9,76,36149,0.06
485,A Bronx Tale,1993,121,7.8,80,126556,17.27
486,Dark City,1998,100,7.6,66,186592,14.38
487,Das Boot,1981,149,8.3,86,229137,11.49
